2023-12-13 17:40:09,697 INFO    MainThread:11733 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_setup.py:_flush():76] Configure stats pid to 11733
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_setup.py:_flush():76] Loading settings from /Users/pierrelardet/.config/wandb/settings
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_setup.py:_flush():76] Loading settings from /Users/pierrelardet/Documents/University_Academics/Year_3/Deep_Learning_in_Biomedicine/dl4bm-project/fewshotbench/wandb/settings
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'fewshotbench/run.py', 'program': '/Users/pierrelardet/Documents/University_Academics/Year_3/Deep_Learning_in_Biomedicine/dl4bm-project/fewshotbench/run.py'}
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_init.py:_log_setup():507] Logging user logs to /Users/pierrelardet/Documents/University_Academics/Year_3/Deep_Learning_in_Biomedicine/dl4bm-project/fewshotbench/wandb/run-20231213_174009-lqxrwugh/logs/debug.log
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/pierrelardet/Documents/University_Academics/Year_3/Deep_Learning_in_Biomedicine/dl4bm-project/fewshotbench/wandb/run-20231213_174009-lqxrwugh/logs/debug-internal.log
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_init.py:init():547] calling init triggers
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'dataset': {'type': 'classification', 'simple_cls': {'_target_': 'datasets.prot.swissprot.SPSimpleDataset'}, 'set_cls': {'n_way': 20, 'n_support': 1, 'n_query': 15, '_target_': 'datasets.prot.swissprot.SPSetDataset'}, 'name': 'swissprot'}, 'eval_split': ['train', 'val', 'test'], 'backbone': {'_target_': 'backbones.fcnet.FCNet', 'layer_dim': [512, 512]}, 'train_classes': 7195, 'n_way': 20, 'n_shot': 1, 'n_query': 15, 'method': {'name': 'relationnet', 'train_batch': None, 'val_batch': None, 'fast_weight': False, 'start_epoch': 0, 'eval_type': 'set', 'stop_epoch': 60, 'type': 'meta', 'cls': {'n_way': 20, 'n_support': 1, '_target_': 'methods.relationnet.RelationNet'}}, 'model': 'FCNet', 'mode': 'train', 'exp': {'name': 'relationnet_swissprot_1_20', 'save_freq': 10, 'resume': False, 'seed': 42, 'val_freq': 1}, 'optimizer': 'Adam', 'lr': 0.001, 'optimizer_cls': {'_target_': 'torch.optim.Adam', 'lr': 0.001}, 'checkpoint': {'dir': 'checkpoints/relationnet_swissprot_1_20/swissprot/relationnet_FCNet', 'test_iter': 'best_model', 'time': '20231213_174008'}, 'wandb': {'project': 'fewshotbench', 'entity': 'dl4bm', 'mode': 'online'}, 'iter_num': 600}
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_init.py:init():596] starting backend
2023-12-13 17:40:09,698 INFO    MainThread:11733 [wandb_init.py:init():600] setting up manager
2023-12-13 17:40:09,709 INFO    MainThread:11733 [wandb_init.py:init():606] backend started and connected
2023-12-13 17:40:09,716 INFO    MainThread:11733 [wandb_init.py:init():703] updated telemetry
2023-12-13 17:40:09,733 INFO    MainThread:11733 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-12-13 17:40:10,422 INFO    MainThread:11733 [wandb_run.py:_on_init():2176] communicating current version
2023-12-13 17:40:10,617 INFO    MainThread:11733 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.16.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-12-13 17:40:10,617 INFO    MainThread:11733 [wandb_init.py:init():787] starting run threads in backend
2023-12-13 17:40:14,285 INFO    MainThread:11733 [wandb_run.py:_console_start():2155] atexit reg
2023-12-13 17:40:14,285 INFO    MainThread:11733 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-12-13 17:40:14,286 INFO    MainThread:11733 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-12-13 17:40:14,286 INFO    MainThread:11733 [wandb_run.py:_redirect():2100] Redirects installed.
2023-12-13 17:40:14,287 INFO    MainThread:11733 [wandb_init.py:init():828] run started, returning control to user process
2023-12-13 17:40:14,290 INFO    MainThread:11733 [wandb_run.py:_config_callback():1283] config_cb None None {'model_details': {'feature': {'encoder': {'0': {'0': 'Linear(in_features=1280, out_features=512, bias=True)', '1': 'BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)', '2': 'ReLU()', '3': 'Dropout(p=0.2, inplace=False)'}, '1': {'0': 'Linear(in_features=512, out_features=512, bias=True)', '1': 'BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)', '2': 'ReLU()', '3': 'Dropout(p=0.2, inplace=False)'}}}, 'loss_fn': 'CrossEntropyLoss()', 'relation_module': {'layers': {'0': {'0': 'Linear(in_features=1024, out_features=512, bias=True)', '1': 'BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)', '2': 'ReLU()', '3': 'Dropout(p=0.25, inplace=False)'}, '1': {'0': 'Linear(in_features=512, out_features=512, bias=True)', '1': 'BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)', '2': 'ReLU()', '3': 'Dropout(p=0.25, inplace=False)'}, '2': {'0': 'Linear(in_features=512, out_features=512, bias=True)', '1': 'BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)', '2': 'ReLU()', '3': 'Dropout(p=0.25, inplace=False)'}}, 'layer_final': 'Linear(in_features=512, out_features=1, bias=True)', 'sigmoid': 'Sigmoid()'}}}
2023-12-13 17:40:14,291 INFO    MainThread:11733 [wandb_run.py:_config_callback():1283] config_cb None None {'optimizer_details': {'lr': 0.001, 'betas': [0.9, 0.999], 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'foreach': None, 'capturable': False, 'differentiable': False, 'fused': None}}
